#Monitoring-Site	Remote-Site	?	Oct2014	Sep2014	Aug2014	Jul2014	Jun2014	May2014	Apr2014	Mar2014	Feb2014	Jan2014	Dec2013	Nov2013	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region
PK.NCP.EDU.N3	KZ.KAZRENA.N1	?B	432.554	420.673	432.314	446.693	466.451	547.567	559.839	565.826	571.400	574.862	545.955	550.100	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.kazrena.kz	KZ	Central_Asia
PK.NCP.EDU.N3	LB.CUT.EDU.N1	?B	187.100	190.620	194.365	180.547	187.316	220.850	209.167	230.706	184.809	213.448	217.563	224.936	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.cut.edu.lb	LB	Middle_East
PK.NCP.EDU.N3	LK.LEARN.AC.N1	?B	203.133	329.232	218.946	175.801	224.905	260.833	269.925	263.397	290.057	276.740	262.163	249.892	pinger-ncp.ncp.edu.pk	PK	South_Asia	namunu.learn.ac.lk	LK	South_Asia
PK.NCP.EDU.N3	LS.LESOTHO.GOV.N1	?B	432.241	425.394	431.731	431.041	416.951	381.540	364.016	352.571	354.277	367.099	368.343	382.050	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.lesotho.gov.ls	LS	Africa
PK.NCP.EDU.N3	LT.MII.N1	?B	284.629	273.772	281.027	279.016	309.528	385.618	387.642	386.546	414.075	412.479	393.081	392.601	pinger-ncp.ncp.edu.pk	PK	South_Asia	julius.ktl.mii.lt	LT	Europe
PK.NCP.EDU.N3	LV.WEB-A-LVDATS.N1	?B	204.123	203.480	212.907	280.727	311.342	216.041	199.359	222.251	203.762	215.354	227.168	251.922	pinger-ncp.ncp.edu.pk	PK	South_Asia	web-a.lvdats.lv	LV	Europe
PK.NCP.EDU.N3	LY.LTTNET.NET	?B	332.021	229.535	215.435	183.570	190.734	257.888	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	mail.lttnet.net	NET	Africa
PK.NCP.EDU.N3	MK.NET.N1	?B	218.670	229.759	230.707	265.393	270.640	219.803	214.304	201.927	206.349	212.933	224.323	217.865	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.mt.net.mk	MK	Balkans
PK.NCP.EDU.N3	ML.ORG.REFER.N1	?B	250.970	251.413	252.955	250.388	253.293	287.415	273.365	244.156	323.918	302.006	270.106	256.204	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.ml.refer.org	ORG	Africa
PK.NCP.EDU.N3	MN.MAGIC.N1	?B	487.297	375.559	388.149	403.740	334.437	257.145	269.868	272.205	327.236	364.550	375.250	375.028	pinger-ncp.ncp.edu.pk	PK	South_Asia	magic.mn	MN	Central_Asia
